Body Name	Surface Slots	Orbital Slots	System Name	System Address	Body Type	Body ID	Parents	Scan Time	Scan Type	Star Type	Planet Class	Landable	Distance (LS)	Tidal Locked	Terraform State	Mass (Earths)	Stellar Mass (Suns)	Radius (km)	Gravity (g)	Surface Temp (K)	Surface Temp (C)	Absolute Magnitude	Age (million years)	Luminosity	Pressure (Pa)	Pressure (atm)	Atmosphere	Atmosphere Type	Atmosphere Composition	Volcanism	Ice %	Rock %	Metal %	Materials	Rings	Semi-major Axis (AU)	Eccentricity	Orbital Inclination (deg)	Periapsis (deg)	Orbital Period (days)	Ascending Node (deg)	Mean Anomaly (deg)	Rotation Period (days)	Axial Tilt (deg)	Was Discovered	Was Mapped Before	Was Footfalled	DSS Mapped Now	Probes Used	Efficiency Target	Efficient Mapping	Bio Signals	Geo Signals	Human Signals	Guardian Signals	Thargoid Signals	All Signals	Genuses
Nyeakua DQ-B c2-3 B	N/A	1	Nyeakua DQ-B c2-3	920699901970	Star	2	Null:0	2026-07-26T06:02:43Z	Detailed	M		N/A	366759.561				0.417969	372455.84		3253	2979.85	8.682007	4820	Va											Nyeakua DQ-B c2-3 B A Belt [eRingClass_MetalRich, MassMT=6.1678E+13, InnerRad=6.1455E+8, OuterRad=1.8645E+9]	466.55128	0.2107	-57.8374	202.3996	5973473.122274	-10.6668	93.3689	2.072576	0	Yes	No	N/A	N/A										
Nyeakua DQ-B c2-3 A 1		1	Nyeakua DQ-B c2-3	920699901970	Planet	9	Star:1 > Null:0	2026-07-26T06:02:38Z	AutoScan		Metal rich body	Yes	13.211	Yes	None	0.527123		4007.13	1.3342	1410.66	1137.51				0	0	None	None		metallic magma volcanism	0	0	100	iron=34.865650%; nickel=26.370916%; chromium=15.680240%; zinc=9.475179%; vanadium=8.561790%; molybdenum=2.276707%; mercury=1.522525%; technetium=1.247004%		0.026474	0.000002	0	20.1021	1.709332	67.494	92.1015	1.712659	-16.4084	Yes	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 A 2		3	Nyeakua DQ-B c2-3	920699901970	Planet	10	Star:1 > Null:0	2026-07-26T06:02:40Z	AutoScan		Metal rich body	Yes	24.054	Yes	None	0.188438		2921.42	0.8974	1046.42	773.27				0	0	None	None		None	0	0	100	iron=32.532734%; nickel=24.606396%; chromium=14.631051%; manganese=13.435687%; zinc=8.841179%; niobium=2.223439%; yttrium=1.943141%; tungsten=1.786374%		0.048205	0.000006	0.0009	165.1645	4.199851	140.3929	173.2355	4.208023	28.5658	Yes	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 A 3	N/A	1	Nyeakua DQ-B c2-3	920699901970	Planet	11	Star:1 > Null:0	2026-07-26T06:03:20Z	Detailed		High metal content body	No	1084.784	No	None	0.326826		4324.85	0.7102	244.57	-28.58				273383.375	2.698084	carbon dioxide rich atmosphere	CarbonDioxideRich	Nitrogen=84.584656%; CarbonDioxide=15.251890%; SulphurDioxide=0.157316%	None	0	67.065	32.935			2.177235	0.001535	-0.4179	94.2985	1274.852082	-14.5333	1.1407	1.884012	13.8674	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 A 4	N/A	1	Nyeakua DQ-B c2-3	920699901970	Planet	12	Star:1 > Null:0	2026-07-26T06:03:04Z	Detailed		Sudarsky class III gas giant	No	1836.306	No	None	1010.378357		76833.02	6.9563	291.42	18.27				0	0	None	None	Hydrogen=73.578560%; Helium=26.421446%	None					Nyeakua DQ-B c2-3 A 4 A Ring [eRingClass_MetalRich, MassMT=1.3786E+12, InnerRad=1.4934E+8, OuterRad=3.4933E+8]	3.689707	0.004252	-0.0013	193.8057	2812.481796	-54.2195	51.2851	2.014311	-45.19	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 A 4 a	1	2	Nyeakua DQ-B c2-3	920699901970	Planet	14	Planet:12 > Star:1 > Null:0	2026-07-26T06:03:10Z	Detailed		Rocky body	Yes	1835.184	Yes	None	0.000539		573.42	0.0666	156.61	-116.54				0	0	None	None		None	0	91.0538	8.9462	iron=19.922630%; sulphur=19.470602%; carbon=16.372761%; nickel=15.068643%; phosphorus=10.482122%; manganese=8.227843%; vanadium=4.892304%; zirconium=2.313428%; cadmium=1.547082%; tin=1.188510%; polonium=0.514067%		0.005368	0.001936	0.2669	197.5746	2.607483	-175.4275	184.0601	2.607503	-5.7044	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 A 4 b	1	1	Nyeakua DQ-B c2-3	920699901970	Planet	15	Planet:12 > Star:1 > Null:0	2026-07-26T06:03:09Z	Detailed		Rocky body	Yes	1839.094	Yes	None	0.001482		800.89	0.0939	151.45	-121.7				0	0	None	None		None	0	90.7375	9.2625	iron=19.473909%; sulphur=18.913231%; carbon=15.904069%; nickel=14.729250%; phosphorus=10.182058%; chromium=8.758063%; zinc=5.292280%; selenium=2.960081%; niobium=1.330938%; molybdenum=1.271635%; antimony=1.184483%		0.007496	0.000042	0.4252	28.0569	4.303054	66.3336	109.2097	4.303088	-60.1046	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 A 4 c	3	1	Nyeakua DQ-B c2-3	920699901970	Planet	16	Planet:12 > Star:1 > Null:0	2026-07-26T06:03:14Z	Detailed		Rocky body	Yes	1835.853	No	None	0.002592		963.38	0.1135	176.28	-96.87				2424.107	0.023924	thin carbon dioxide atmosphere	CarbonDioxide	CarbonDioxide=99.009911%; SulphurDioxide=0.990099%	None	0	90.7169	9.2831	iron=18.518738%; sulphur=17.978287%; carbon=15.117878%; nickel=14.006797%; phosphorus=9.678724%; chromium=8.328490%; manganese=7.648049%; zinc=5.032699%; cadmium=1.438064%; ruthenium=1.143650%; tin=1.108632%		0.010563	0.001054	-0.0106	113.1041	7.197859	-176.6291	242.2758	-7.197916	152.9888	No	No	No	No				3	0	0	0	0	Biological:3	
Nyeakua DQ-B c2-3 A 4 d	3	2	Nyeakua DQ-B c2-3	920699901970	Planet	17	Planet:12 > Star:1 > Null:0	2026-07-26T06:03:16Z	Detailed		Rocky body	Yes	1833.189	Yes	None	0.001311		769.73	0.09	164.39	-108.76				1527.698	0.015077	thin carbon dioxide atmosphere	CarbonDioxide	CarbonDioxide=99.009911%; SulphurDioxide=0.990099%	None	0	91.0538	8.9462	iron=19.700117%; sulphur=19.253138%; carbon=16.189898%; nickel=14.900343%; phosphorus=10.365049%; germanium=5.701736%; zinc=5.353755%; vanadium=4.837663%; niobium=1.346398%; yttrium=1.176664%; tin=1.175235%		0.018819	0.001749	-1.6127	15.1745	17.118146	-174.3856	129.7062	17.118281	6.2639	No	No	No	No				3	0	0	0	0	Biological:3	
Nyeakua DQ-B c2-3 A 4 e	3	1	Nyeakua DQ-B c2-3	920699901970	Planet	18	Planet:12 > Star:1 > Null:0	2026-07-26T06:03:12Z	Detailed		Rocky body	Yes	1848.447	Yes	None	0.002374		936.53	0.11	163.35	-109.8				2284.017	0.022541	thin carbon dioxide atmosphere	CarbonDioxide	CarbonDioxide=99.009911%; SulphurDioxide=0.990099%	None	0	91.0538	8.9462	iron=18.907757%; sulphur=18.478756%; carbon=15.538721%; nickel=14.301036%; phosphorus=9.948156%; chromium=8.503447%; germanium=5.472406%; zinc=5.138421%; cadmium=1.468273%; tellurium=1.417364%; mercury=0.825671%		0.032393	0.003097	-0.0048	11.852	38.65661	155.7265	183.3254	38.656911	28.7226	No	No	No	No				3	0	0	0	0	Biological:3	
Nyeakua DQ-B c2-3 A 5	N/A	1	Nyeakua DQ-B c2-3	920699901970	Planet	19	Star:1 > Null:0	2026-07-26T06:04:16Z	Detailed		Sudarsky class I gas giant	No	3360.11	No	None	21.906895		23594.3	1.5994	91.63	-181.52				0	0	None	None	Hydrogen=73.578552%; Helium=26.421440%	None						6.741947	0.001503	-3.9316	238.1321	6946.722804	39.7433	325.2698	0.762574	-6.9727	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 A 5 a	2	1	Nyeakua DQ-B c2-3	920699901970	Planet	20	Planet:19 > Star:1 > Null:0	2026-07-26T06:04:21Z	Detailed		Icy body	Yes	3360.311	Yes	None	0.001669		1045.49	0.062	81.78	-191.37				0	0	None	None		carbon dioxide geysers volcanism	82.455	15.9759	1.5691	sulphur=28.248484%; carbon=23.754047%; phosphorus=15.207751%; iron=12.702216%; nickel=9.607425%; zinc=3.451987%; vanadium=3.119222%; arsenic=1.644209%; tellurium=0.952238%; tin=0.757744%; mercury=0.554685%		0.001527	0.000039	0.2552	99.4746	2.685783	78.4198	217.9596	2.686407	-4.745	No	No	No	No				0	2	0	0	0	Geological:2	
Nyeakua DQ-B c2-3 A 5 b	1	1	Nyeakua DQ-B c2-3	920699901970	Planet	21	Planet:19 > Star:1 > Null:0	2026-07-26T06:04:20Z	Detailed		Icy body	Yes	3359.601	Yes	None	0.001183		933.14	0.0552	81.74	-191.41				0	0	None	None		None	82.455	15.9759	1.5691	sulphur=27.134586%; carbon=22.817377%; phosphorus=14.608078%; iron=12.201342%; nickel=9.228583%; manganese=5.039030%; zinc=3.315868%; vanadium=2.996225%; cadmium=0.947490%; tellurium=0.914689%; molybdenum=0.796741%		0.002289	0.000062	-0.0174	353.0951	4.928743	-169.8114	32.0906	4.929887	-12.4578	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 A 5 c	1	1	Nyeakua DQ-B c2-3	920699901970	Planet	22	Planet:19 > Star:1 > Null:0	2026-07-26T06:04:24Z	Detailed		Icy body	Yes	3359.987	Yes	None	0.00081		823.12	0.0486	81.67	-191.48				0	0	None	None		None	82.455	15.9759	1.5691	sulphur=27.390766%; carbon=23.032797%; phosphorus=14.745993%; iron=12.316535%; nickel=9.315710%; chromium=5.539155%; germanium=3.564931%; arsenic=1.594286%; tellurium=0.923324%; niobium=0.841769%; tin=0.734736%		0.005171	0.000778	0.0529	173.1683	16.74054	-100.7499	130.4801	16.744426	13.6409	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 A 5 d	1	2	Nyeakua DQ-B c2-3	920699901970	Planet	23	Planet:19 > Star:1 > Null:0	2026-07-26T06:04:22Z	Detailed		Icy body	Yes	3362.909	Yes	None	0.0006		745.16	0.0439	81.65	-191.5				0	0	None	None		None	82.455	15.9759	1.5691	sulphur=26.407507%; carbon=22.205976%; phosphorus=14.216648%; iron=11.874402%; nickel=8.981300%; chromium=5.340313%; manganese=4.904007%; selenium=4.132998%; cadmium=0.922101%; tin=0.708361%; polonium=0.306388%		0.006735	0.003153	0.2789	217.4067	24.882874	47.2718	263.82	24.888649	0.6303	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 A 5 e	1	2	Nyeakua DQ-B c2-3	920699901970	Planet	24	Planet:19 > Star:1 > Null:0	2026-07-26T06:04:28Z	Detailed		Icy body	Yes	3357.041	Yes	None	0.000764		807.3	0.0477	81.63	-191.52				0	0	None	None		None	82.455	15.9759	1.5691	sulphur=26.671553%; carbon=22.428013%; phosphorus=14.358801%; iron=11.993134%; nickel=9.071104%; chromium=5.393711%; selenium=4.174324%; zinc=3.259285%; cadmium=0.931321%; tellurium=0.899080%; niobium=0.819667%		0.009879	0.002881	0.1307	350.9464	44.202313	145.16	332.8515	44.212576	25.881	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 A 5 f	1	2	Nyeakua DQ-B c2-3	920699901970	Planet	25	Planet:19 > Star:1 > Null:0	2026-07-26T06:04:26Z	Detailed		Icy body	Yes	3354.184	Yes	None	0.001628		1036.72	0.0616	81.62	-191.53				0	0	None	None		None	82.3402	16.0758	1.584	sulphur=26.870506%; carbon=22.595314%; phosphorus=14.465909%; iron=12.111068%; nickel=9.160303%; manganese=5.001747%; selenium=4.205462%; zinc=3.291335%; niobium=0.827727%; ruthenium=0.747936%; tin=0.722679%		0.013412	0.00317	0.056	144.6543	69.927482	-43.458	274.3096	69.943717	11.8681	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 A 5 g	1	1	Nyeakua DQ-B c2-3	920699901970	Planet	26	Planet:19 > Star:1 > Null:0	2026-07-26T06:04:25Z	Detailed		Icy body	Yes	3369.175	No	None	0.000565		730.26	0.043	81.61	-191.54				0	0	None	None		None	82.455	15.9759	1.5691	sulphur=26.999817%; carbon=22.704048%; phosphorus=14.535522%; iron=12.140741%; nickel=9.182748%; manganese=5.014002%; selenium=4.225699%; vanadium=2.981343%; cadmium=0.942784%; antimony=0.743131%; mercury=0.530166%		0.018626	0.003787	0.7381	36.3343	114.441108	-25.5811	324.8475	2.825742	28.0659	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 A 5 h	1	1	Nyeakua DQ-B c2-3	920699901970	Planet	27	Planet:19 > Star:1 > Null:0	2026-07-26T06:04:32Z	Detailed		Icy body	Yes	3370.08	No	None	0.000943		865.55	0.0512	81.6	-191.55				0	0	None	None		None	82.455	15.9759	1.5691	sulphur=27.246538%; carbon=22.911516%; phosphorus=14.668347%; iron=12.251682%; nickel=9.266659%; manganese=5.059820%; germanium=3.546160%; zinc=3.329549%; tin=0.730868%; tungsten=0.672740%; polonium=0.316123%		0.024947	0.000723	5.1243	352.4994	177.392108	-75.1788	205.8835	1.257873	-9.8791	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 B 1	N/A	1	Nyeakua DQ-B c2-3	920699901970	Planet	39	Star:2 > Null:0	2026-07-26T06:03:59Z	Detailed		Rocky ice body	No	366245.321	No	None	2.300904		9355.62	1.0684	124.65	-148.5				35563844	350.987851	thick argon rich atmosphere	ArgonRich	Nitrogen=99.871391%; Argon=0.125709%	major water geysers volcanism	49.4905	33.8742	16.6353			1.054704	0.00004	0.0034	58.9117	611.712563	-34.1745	308.9308	1.264947	53.3267	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 B 2	N/A	2	Nyeakua DQ-B c2-3	920699901970	Planet	40	Star:2 > Null:0	2026-07-26T06:04:03Z	Detailed		Icy body	No	366335.34	No	None	2.160079		9372.95	0.9993	450.79	177.64				979233536	9664.283602	thick methane rich atmosphere	MethaneRich	Ammonia=33.217541%; Methane=33.217541%; Nitrogen=33.217541%	major water geysers volcanism	55.5318	29.8226	14.6457			1.389771	0.000102	-0.6108	153.8458	925.265094	145.4295	183.4942	1.432308	-6.3703	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 B 3	N/A	1	Nyeakua DQ-B c2-3	920699901970	Planet	41	Star:2 > Null:0	2026-07-26T06:04:04Z	Detailed		Icy body	No	367337.083	No	None	1.893862		9022.76	0.9455	76.13	-197.02				19387.813	0.191343	neon rich atmosphere	NeonRich	Nitrogen=95.603859%; Neon=4.385431%	major water geysers volcanism	55.5318	29.8226	14.6457			1.827116	0.000358	0.0076	130.6211	1394.764141	116.2879	54.0823	0.642743	28.6455	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 B 4	N/A	1	Nyeakua DQ-B c2-3	920699901970	Planet	42	Star:2 > Null:0	2026-07-26T06:03:27Z	Detailed		Sudarsky class I gas giant	No	367044.805	No	None	50.149464		50762.15	0.791	68.67	-204.48				0	0	None	None	Hydrogen=73.578552%; Helium=26.421440%	None						3.224876	0.000509	-0.0039	174.9262	3270.551976	134.8268	346.3229	1.659417	-27.0513	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 B 4 a	1	1	Nyeakua DQ-B c2-3	920699901970	Planet	43	Planet:42 > Star:2 > Null:0	2026-07-26T06:03:37Z	Detailed		Icy body	Yes	367045.25	Yes	None	0.000433		668.84	0.0394	59.19	-213.96				0	0	None	None		None	82.455	15.9759	1.5691	sulphur=28.205276%; carbon=23.717718%; phosphorus=15.184490%; iron=12.682814%; nickel=9.592749%; germanium=3.670944%; zinc=3.446714%; zirconium=1.472736%; antimony=0.776310%; tungsten=0.696414%; mercury=0.553838%		0.003443	0.001137	0.0089	217.5735	6.012935	98.2828	92.5802	6.013075	-1.1334	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 B 4 b	1	1	Nyeakua DQ-B c2-3	920699901970	Planet	44	Planet:42 > Star:2 > Null:0	2026-07-26T06:03:36Z	Detailed		Icy body	Yes	367047.962	Yes	None	0.000228		540.68	0.0317	58.89	-214.26				0	0	None	None		None	82.455	15.9759	1.5691	sulphur=26.254219%; carbon=22.077080%; phosphorus=14.134126%; iron=11.805499%; nickel=8.929184%; chromium=5.309325%; manganese=4.875551%; selenium=4.109007%; cadmium=0.916751%; tellurium=0.885013%; tin=0.704251%		0.010481	0.00054	0.0432	221.8169	31.935002	152.6545	126.2442	31.935748	-2.5371	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 B 4 c	2	1	Nyeakua DQ-B c2-3	920699901970	Planet	46	Null:45 > Planet:42 > Star:2 > Null:0	2026-07-26T06:03:40Z	Detailed		Icy body	Yes	367038.722	Yes	None	0.000217		532.64	0.031	58.83	-214.32				0	0	None	None		minor water magma volcanism	83.4336	15.1238	1.4426	sulphur=27.246702%; carbon=22.911654%; phosphorus=14.668433%; iron=11.999694%; nickel=9.076066%; chromium=5.396660%; zinc=3.261068%; vanadium=2.946707%; cadmium=0.931831%; niobium=0.820115%; ruthenium=0.741058%		0.000037	0.185357	-1.5681	203.4562	3.640012	7.7501	323.1239	4.508818	29.2579	No	No	No	No				0	2	0	0	0	Geological:2	
Nyeakua DQ-B c2-3 B 4 d	1	2	Nyeakua DQ-B c2-3	920699901970	Planet	47	Null:45 > Planet:42 > Star:2 > Null:0	2026-07-26T06:03:41Z	Detailed		Icy body	Yes	367038.721	No	None	0.000406		653.44	0.0386	58.83	-214.32				0	0	None	None		None	81.932	16.4312	1.6367	sulphur=27.067358%; carbon=22.760845%; phosphorus=14.571883%; iron=12.300679%; nickel=9.303717%; chromium=5.532024%; zinc=3.342864%; vanadium=3.020618%; molybdenum=0.803227%; ruthenium=0.759645%; mercury=0.537150%		0.00002	0.185357	-1.5681	23.4562	3.640012	7.7501	323.1259	-4.112114	-179.8358	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 B 4 e	1	1	Nyeakua DQ-B c2-3	920699901970	Planet	48	Planet:42 > Star:2 > Null:0	2026-07-26T06:03:33Z	Detailed		Icy body	Yes	367044.8	Yes	None	0.000185		503.96	0.0296	58.8	-214.35				0	0	None	None		None	82.455	15.9759	1.5691	sulphur=26.781713%; carbon=22.520647%; phosphorus=14.418106%; iron=12.042693%; nickel=9.108587%; manganese=4.973509%; selenium=4.191565%; germanium=3.485666%; cadmium=0.935170%; niobium=0.823054%; yttrium=0.719296%		0.017573	0.000208	-0.0211	79.5577	69.331279	86.03	138.9543	69.3329	-5.4135	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 B 4 f	1	2	Nyeakua DQ-B c2-3	920699901970	Planet	49	Planet:42 > Star:2 > Null:0	2026-07-26T06:03:32Z	Detailed		Icy body	Yes	367044.229	No	None	0.000165		485.35	0.0285	58.74	-214.41				0	0	None	None		None	82.455	15.9759	1.5691	sulphur=26.376280%; carbon=22.179722%; phosphorus=14.199838%; iron=11.860386%; nickel=8.970698%; chromium=5.334009%; manganese=4.898219%; selenium=4.128111%; cadmium=0.921013%; tin=0.707525%; technetium=0.424198%		0.026265	0.001164	-1.9791	30.8358	126.686334	18.2842	19.5257	2.283481	-26.1084	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 B 5	N/A	3	Nyeakua DQ-B c2-3	920699901970	Planet	50	Star:2 > Null:0	2026-07-26T06:03:46Z	Detailed		Icy body	No	365891.963	No	None	3.630307		11320.87	1.1513	52.21	-220.94				69370.703	0.684636	helium atmosphere	Helium	Helium=89.334976%; Hydrogen=8.427828%; Neon=2.237205%	major water geysers volcanism	68.368	21.1945	10.4085		Nyeakua DQ-B c2-3 B 5 A Ring [eRingClass_Icy, MassMT=4.9778E+7, InnerRad=2.0947E+7, OuterRad=5.3505E+7]	4.448719	0.000197	-2.8865	298.14	5299.123004	63.035	4.4684	1.280375	-13.3555	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-2	N/A	3	Nyeakua DQ-B c2-2	645821995026	Star	0		2026-07-26T06:10:47Z	AutoScan	K		N/A	0				0.664063	511203.49		4497	4223.85	6.587524	8824	Vab																			2.992021	0	No	No	N/A	N/A										
Nyeakua DQ-B c2-2 1	N/A	3	Nyeakua DQ-B c2-2	645821995026	Planet	1	Star:0	2026-07-26T06:11:15Z	Detailed		High metal content body	No	125.798	Yes	None	0.707659		5478.13	0.9584	975.23	702.08				11358796	112.102601	hot thick carbon dioxide atmosphere	CarbonDioxide	CarbonDioxide=98.935623%; SulphurDioxide=1.064301%	None	0	66.8216	33.1784			0.252116	0.000075	-0.0197	11.9555	56.731918	95.6145	4.9327	56.734683	8.0838	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
