Body Name	Surface Slots	Orbital Slots	System Name	System Address	Body Type	Body ID	Parents	Scan Time	Scan Type	Star Type	Planet Class	Landable	Distance (LS)	Tidal Locked	Terraform State	Mass (Earths)	Stellar Mass (Suns)	Radius (km)	Gravity (g)	Surface Temp (K)	Surface Temp (C)	Absolute Magnitude	Age (million years)	Luminosity	Pressure (Pa)	Pressure (atm)	Atmosphere	Atmosphere Type	Atmosphere Composition	Volcanism	Ice %	Rock %	Metal %	Materials	Rings	Semi-major Axis (AU)	Eccentricity	Orbital Inclination (deg)	Periapsis (deg)	Orbital Period (days)	Ascending Node (deg)	Mean Anomaly (deg)	Rotation Period (days)	Axial Tilt (deg)	Was Discovered	Was Mapped Before	Was Footfalled	DSS Mapped Now	Probes Used	Efficiency Target	Efficient Mapping	Bio Signals	Geo Signals	Human Signals	Guardian Signals	Thargoid Signals	All Signals	Genuses
Nyeakua GG-D b4-1 A 7 a			Nyeakua GG-D b4-1	2967419105313	Planet	12	Planet:11 > Star:1 > Null:0	2026-06-21T04:47:16Z	Detailed		Icy body	Yes	4601.986	No	None	0.039395		2985.52	0.1796	20	-253.15				0	0	None	None		None	87.808	10.4996	1.6924	sulphur=28.019121%; carbon=23.561178%; phosphorus=15.084270%; iron=12.234572%; nickel=9.253718%; chromium=5.502294%; vanadium=3.004385%; arsenic=1.455928%; molybdenum=0.798910%; tin=0.757831%; polonium=0.327785%		0.034391	0	24.5104	238.969	1329.497745	121.1718	31.7087	0.797811	-16.7685	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-1 A 8	N/A		Nyeakua GG-D b4-1	2967419105313	Planet	14	Null:13 > Star:1 > Null:0	2026-06-21T04:49:10Z	Detailed		Icy body	No	8456.608	No	None	0.643657		6807.04	0.5646	20.17	-252.98				14904.16	0.147093	helium atmosphere	Helium	Helium=100.000000%	major water magma volcanism	68.3686	21.2554	10.3761			0.040262	0.076505	-0.4051	71.379	4737.719204	-135.0507	192.5904	1.94086	-27.5885	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-1 A 9	N/A		Nyeakua GG-D b4-1	2967419105313	Planet	15	Null:13 > Star:1 > Null:0	2026-06-21T04:49:06Z	Detailed		Icy body	No	8446.179	No	None	0.577513		6584.65	0.5414	20.16	-252.99				13703.361	0.135242	helium atmosphere	Helium	Helium=100.000000%	None	68.3686	21.2554	10.3761			0.044873	0.076505	-0.4051	251.379	4737.719204	-135.0507	192.5904	1.717628	2.0461	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-1 B 1			Nyeakua GG-D b4-1	2967419105313	Planet	17	Null:16 > Star:2 > Null:0	2026-06-21T04:48:10Z	Detailed		Icy body	Yes	214886.91	No	None	0.11438		3961.57	0.2962	28.49	-244.66				13.764	0.000136	None	None		None	68.369	21.2554	10.3757	sulphur=23.461100%; carbon=19.728355%; iron=16.254854%; phosphorus=12.630431%; nickel=12.294491%; chromium=7.310348%; germanium=3.429875%; zirconium=1.887524%; molybdenum=1.061433%; tin=1.053241%; tellurium=0.888344%		0.001949	0.113454	3.3868	250.6297	141.797194	160.022	13.5305	287.374992	15.0052	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-1 B 2			Nyeakua GG-D b4-1	2967419105313	Planet	18	Null:16 > Star:2 > Null:0	2026-06-21T04:48:13Z	Detailed		Icy body	Yes	214888.726	No	None	0.087287		3633.2	0.2688	28.48	-244.67				0.846	8e-06	None	None		None	68.369	21.2554	10.3757	sulphur=22.853447%; carbon=19.217382%; iron=15.833847%; phosphorus=12.303298%; nickel=11.976058%; chromium=7.121006%; zinc=4.303047%; vanadium=3.888242%; molybdenum=1.033941%; tin=1.025961%; polonium=0.443760%		0.002554	0.113454	3.3868	70.6297	141.797194	160.022	13.5306	3.935342	28.9373	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-1 B 3			Nyeakua GG-D b4-1	2967419105313	Planet	19	Star:2 > Null:0	2026-06-21T04:47:48Z	Detailed		Icy body	Yes	214284.181	No	None	0.092776		3704.93	0.2747	21.98	-251.17				0.884	9e-06	None	None		None	68.369	21.2553	10.3757	sulphur=23.419193%; carbon=19.693119%; iron=16.225819%; phosphorus=12.607871%; nickel=12.272529%; manganese=6.701097%; zinc=4.409570%; zirconium=1.884152%; niobium=1.108948%; yttrium=0.969149%; mercury=0.708555%		1.75311	0.000288	0.1271	331.9855	2712.771434	-70.5647	58.2204	1.864369	18.1368	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-1 B 4			Nyeakua GG-D b4-1	2967419105313	Planet	20	Star:2 > Null:0	2026-06-21T04:47:47Z	Detailed		Icy body	Yes	213114.214	No	None	0.0494		3024.54	0.2195	20	-253.15				0	0	None	None		None	68.369	21.2553	10.3756	sulphur=22.346165%; carbon=18.790812%; iron=15.482373%; phosphorus=12.030199%; nickel=11.710217%; chromium=6.962937%; manganese=6.394062%; selenium=3.497364%; molybdenum=1.010990%; yttrium=0.924744%; tungsten=0.850138%		3.078911	0.00646	-0.3669	325.6544	6313.861037	0.5012	172.5702	1.275284	1.8007	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-1 B 5			Nyeakua GG-D b4-1	2967419105313	Planet	21	Star:2 > Null:0	2026-06-21T04:47:50Z	Detailed		Icy body	Yes	213025.408	No	None	0.034074		2681.62	0.1926	20	-253.15				0	0	None	None		None	68.3694	21.2551	10.3755	sulphur=23.321318%; carbon=19.610811%; iron=16.157944%; phosphorus=12.555179%; nickel=12.221191%; chromium=7.266764%; vanadium=3.967828%; zirconium=1.876270%; cadmium=1.254737%; tin=1.046961%; antimony=0.721006%		4.923113	0.005565	0.027	260.7887	12766.124198	-55.567	24.07	0.478694	-2.6902	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-1 B 6			Nyeakua GG-D b4-1	2967419105313	Planet	22	Star:2 > Null:0	2026-06-21T04:48:01Z	Detailed		Icy body	Yes	216138.335	No	None	0.090082		3665.86	0.2724	20	-253.15				0.865	9e-06	None	None		None	68.0123	21.4527	10.535	sulphur=22.957010%; carbon=19.304468%; iron=15.981486%; phosphorus=12.359052%; nickel=12.087727%; chromium=7.187405%; vanadium=3.924497%; germanium=3.367625%; cadmium=1.241035%; tungsten=0.877544%; antimony=0.712166%		7.10697	0.014597	-0.1226	297.0974	22142.472918	22.7974	72.6121	0.482883	-178.9356	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-1 B 6 a			Nyeakua GG-D b4-1	2967419105313	Planet	23	Planet:22 > Star:2 > Null:0	2026-06-21T04:47:56Z	Detailed		Icy body	Yes	216141.725	No	None	0.001655		1054.81	0.0604	20	-253.15				0	0	None	None		None	87.8083	10.4994	1.6923	sulphur=27.017790%; carbon=22.719162%; phosphorus=14.545199%; iron=11.797205%; nickel=8.922911%; chromium=5.305594%; manganese=4.872125%; vanadium=2.896983%; molybdenum=0.770351%; tin=0.730738%; technetium=0.421938%		0.017037	0	-73.1542	82.3236	1547.415085	-162.0656	330.547	1.581019	-5.6043	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
